9979,2015-10-21 00:00:00.000,16140538,14160242,$349,500,1964,East,4,1,House,Garage, Integrated garage, Other,48 Rue Cedar|Dollard-Des Ormeaux, Quebec H9B1H6,See listing broker(s),http://www.realtor.ca/Residential/Single-Family/16140538/48-Rue-Cedar-Dollard-Des-Ormeaux-Quebec-H9B1H6-East,http://passerelle.centris.ca/redirect.aspx?CodeDest=REMAX%26NoMLS=MT14160242&Lang=E,0,closed,NULL
24319,2015-12-01 00:00:00.000,16338170,18780606,$369,000,1987,Forest Gardens (Central North),4,2,House,Other, Garage,147 Av. Elm|#4|Beaconsfield, Quebec H9W2E1,3+1 bedrm, 2.5 baths, updated and renovated! Master with Ens! newer wood floors on main level, nicely maintained yard, private! double sided FPLC, finished basement, wall mounted AC, garage, steps to train, close to elementary, high school, quick access to ST Charles and highway 20!,http://www.realtor.ca/Residential/Single-Family/16338170/147-Av-Elm-4-Beaconsfield-Quebec-H9W2E1-Forest-Gardens-Central-North,http://passerelle.centris.ca/redirect.aspx?CodeDest=REMAX%26NoMLS=MT18780606&Lang=E,0,closed,NULL
24324,2015-12-01 00:00:00.000,16369705,18859086,$369,900,1988,Pierrefonds/Central East,3,2,House,Garage, Other,12656 Rue Bedford|Pierrefonds-Roxboro (Montréal), Quebec H9A3K5,Situated in a high demand area of Pierrefonds. This home is zoned for the westpark elementary school and is at proximity of Beechwood school , High schools and the Pierrefonds library. This well cared for house is a must see on your part!,http://www.realtor.ca/Residential/Single-Family/16369705/12656-Rue-Bedford-Pierrefonds-Roxboro-Montréal-Quebec-H9A3K5-PierrefondsCentral-East,http://passerelle.centris.ca/redirect.aspx?CodeDest=C21%26NoMLS=MT18859086&Lang=E,0,closed,NULL
24359,2015-12-01 00:00:00.000,16399860,21724433,$385,000,1963,Pierrefonds/Central West,3,1,House,Other, Garage,4416 Rue Ste-Anne|Pierrefonds-Roxboro (Montréal), Quebec H9H2Z4,The most spacious renovated bungalow of the area!!You will be amazed by this spacious house.Incredibly brite because of it's large windows.Renovated with quality and taste.Ideal for young couple or family looking for perfect house with nothing to do upon entry!Amazing private backyard with huge deck.See list of renos in addenda.Must see property!,http://www.realtor.ca/Residential/Single-Family/16399860/4416-Rue-Ste-Anne-Pierrefonds-Roxboro-Montréal-Quebec-H9H2Z4-PierrefondsCentral-West,http://passerelle.centris.ca/redirect.aspx?CodeDest=ALOUERMONTREAL%26NoMLS=MT21724433&Lang=E,0,closed,NULL
24386,2015-12-01 00:00:00.000,16329711,12207109,$399,000,1968,West,4,2,House,Garage, Other,18 Rue Gauthier|Dollard-Des Ormeaux, Quebec H9G1Z7,See listing broker(s),http://www.realtor.ca/Residential/Single-Family/16329711/18-Rue-Gauthier-Dollard-Des-Ormeaux-Quebec-H9G1Z7-West,http://passerelle.centris.ca/redirect.aspx?CodeDest=SUTTON%26NoMLS=MT12207109&Lang=E,0,closed,NULL
19419,2015-11-16 00:00:00.000,15038493,12425333,$379,900,1971,West,5,1,House,Garage, Other,30 Rue Roosevelt|Dollard-Des Ormeaux, Quebec H9G1H9,Spacious 4 bedroom Olympia cottage located in great quiet area close to park, school & transportation. Main floor family room with Gas fireplace, patio doors to solarium type covered patio,large landscaped fenced corner lot.Parquetry floors in Living room,Dining room,family room & Bedrooms. Finished basement,New gas furnace with Heat-pump......,http://www.realtor.ca/Residential/Single-Family/15038493/30-Rue-Roosevelt-Dollard-Des-Ormeaux-Quebec-H9G1H9-West,http://passerelle.centris.ca/redirect.aspx?CodeDest=ROYALLEPAGE%26NoMLS=MT12425333&Lang=E,0,closed,NULL
19634,2015-11-17 00:00:00.000,16157692,10784240,$339,900,1966,East,4,2,House,Garage, Other,15 Rue Dubois|Dollard-Des Ormeaux, Quebec H9B1L2,See listing broker(s),http://www.realtor.ca/Residential/Single-Family/16157692/15-Rue-Dubois-Dollard-Des-Ormeaux-Quebec-H9B1L2-East,http://passerelle.centris.ca/redirect.aspx?CodeDest=REMAX%26NoMLS=MT10784240&Lang=E,0,closed,NULL
19431,2015-11-16 00:00:00.000,15958974,10515300,$389,000,1963,Pierrefonds/Central West,3,1,House,Other, Garage,4416 Rue Ste-Anne|Pierrefonds-Roxboro (Montréal), Quebec H9H2Z4,The most spacious renovated bungalow of the area!!You will be amazed by this spacious house.Incredibly brite because of it's large windows.Renovated with quality and taste.Ideal for young couple or family looking for perfect house with nothing to do upon entry!Amazing private backyard with huge deck.See list of renos in addenda.Must see property!,http://www.realtor.ca/Residential/Single-Family/15958974/4416-Rue-Ste-Anne-Pierrefonds-Roxboro-Montréal-Quebec-H9H2Z4-PierrefondsCentral-West,http://passerelle.centris.ca/redirect.aspx?CodeDest=ALOUERMONTREAL%26NoMLS=MT10515300&Lang=E,0,closed,NULL
19446,2015-11-16 00:00:00.000,16329711,12207109,$399,000,1968,West,4,2,House,Garage, Other,18 Rue Gauthier|Dollard-Des Ormeaux, Quebec H9G1Z7,See listing broker(s),http://www.realtor.ca/Residential/Single-Family/16329711/18-Rue-Gauthier-Dollard-Des-Ormeaux-Quebec-H9G1Z7-West,http://passerelle.centris.ca/redirect.aspx?CodeDest=SUTTON%26NoMLS=MT12207109&Lang=E,0,closed,NULL
19641,2015-11-17 00:00:00.000,16329583,10675450,$347,500,1962,Pierrefonds/Central East,5,2,House,Garage, Other,11645 Rue Joly|Pierrefonds-Roxboro (Montréal), Quebec H8Y1E5,Completely renovated turn key bungalow situated in the ideal sector of Pierrefonds.This home has 2 bedrooms on the main floor with an option to add a 3rd,2 bedrooms in the basement,2 full bathrooms and a perfect sized lot.The whole house has been updated!The living room has vaulted ceilings and the layout is open concept.One visit will impress!,http://www.realtor.ca/Residential/Single-Family/16329583/11645-Rue-Joly-Pierrefonds-Roxboro-Montréal-Quebec-H8Y1E5-PierrefondsCentral-East,http://passerelle.centris.ca/redirect.aspx?CodeDest=IFL%26NoMLS=MT10675450&Lang=E,0,closed,NULL
19712,2015-11-17 00:00:00.000,16338170,18780606,$369,000,1987,Forest Gardens (Central North),4,2,House,Other, Garage,147 Av. Elm|#4|Beaconsfield, Quebec H9W2E1,3+1 bedrm, 2.5 baths, updated and renovated! Master with Ens! newer wood floors on main level, nicely maintained yard, private! double sided FPLC, finished basement, wall mounted AC, garage, steps to train, close to elementary, high school, quick access to ST Charles and highway 20!,http://www.realtor.ca/Residential/Single-Family/16338170/147-Av-Elm-4-Beaconsfield-Quebec-H9W2E1-Forest-Gardens-Central-North,http://passerelle.centris.ca/redirect.aspx?CodeDest=REMAX%26NoMLS=MT18780606&Lang=E,0,closed,NULL
19790,2015-11-17 00:00:00.000,16329711,12207109,$399,000,1968,West,4,2,House,Garage, Other,18 Rue Gauthier|Dollard-Des Ormeaux, Quebec H9G1Z7,See listing broker(s),http://www.realtor.ca/Residential/Single-Family/16329711/18-Rue-Gauthier-Dollard-Des-Ormeaux-Quebec-H9G1Z7-West,http://passerelle.centris.ca/redirect.aspx?CodeDest=SUTTON%26NoMLS=MT12207109&Lang=E,0,closed,NULL
19641,2015-11-17 00:00:00.000,16329583,10675450,$347,500,1962,Pierrefonds/Central East,5,2,House,Garage, Other,11645 Rue Joly|Pierrefonds-Roxboro (Montréal), Quebec H8Y1E5,Completely renovated turn key bungalow situated in the ideal sector of Pierrefonds.This home has 2 bedrooms on the main floor with an option to add a 3rd,2 bedrooms in the basement,2 full bathrooms and a perfect sized lot.The whole house has been updated!The living room has vaulted ceilings and the layout is open concept.One visit will impress!,http://www.realtor.ca/Residential/Single-Family/16329583/11645-Rue-Joly-Pierrefonds-Roxboro-Montréal-Quebec-H8Y1E5-PierrefondsCentral-East,http://passerelle.centris.ca/redirect.aspx?CodeDest=IFL%26NoMLS=MT10675450&Lang=E,0,closed,NULL
19653,2015-11-17 00:00:00.000,16338309,25555506,$349,900,1986,North West,4,2,House,Other, Garage,18125 Boul. Elkas|Kirkland, Quebec H9J3E1,Spacious bungalow with lots of potential ! Excellent location. Just steps to elementary school, park & colisee. Do not miss this opportunity.**Perfect for contractors or handyman.,http://www.realtor.ca/Residential/Single-Family/16338309/18125-Boul-Elkas-Kirkland-Quebec-H9J3E1-North-West,http://passerelle.centris.ca/redirect.aspx?CodeDest=ABBEYANDOLIVIER%26NoMLS=MT25555506&Lang=E,0,closed,NULL
19730,2015-11-17 00:00:00.000,16197083,21105382,$375,000,1964,Pierrefonds/Central East,4,1,House,Integrated garage, Garage, Other,13094 Rue Lombardy|Pierrefonds-Roxboro (Montréal), Quebec H8Z1G6,Drenched in sunlight offering 4 bedrooms all on same level!Nestled on 8800sf featuring:elegant renovated kitchen,all windows replaced,new force air furnace & new central air condition unit,gaz fireplace,wood floors,garage with backyard acces & huge driveway to accomodate your small & big toys! An adorable family home !!,http://www.realtor.ca/Residential/Single-Family/16197083/13094-Rue-Lombardy-Pierrefonds-Roxboro-Montréal-Quebec-H8Z1G6-PierrefondsCentral-East,http://passerelle.centris.ca/redirect.aspx?CodeDest=REMAX%26NoMLS=MT21105382&Lang=E,0,closed,NULL
19681,2015-11-17 00:00:00.000,16141432,22780032,$359,000,1967,East,4,1,House,Garage, Integrated garage, Other,12 Rue Cadman|Dollard-Des Ormeaux, Quebec H9B1X5,Perfectly located in the heart of DDO, this charming bungalow boasts natural hardwood floors throughout the main living areas, a fully renovated basement, and a large two-car garage. Close to amenities, parks, a public pool, and only a stone's throw from Sunshine Academy elementary school, this home is perfect for young couples and families alike.,http://www.realtor.ca/Residential/Single-Family/16141432/12-Rue-Cadman-Dollard-Des-Ormeaux-Quebec-H9B1X5-East,http://passerelle.centris.ca/redirect.aspx?CodeDest=IFL%26NoMLS=MT22780032&Lang=E,0,closed,NULL
25471,2015-12-18 00:00:00.000,16329583,10675450,$339,000,1962,Pierrefonds/Central East,5,2,House,Garage, Other,11645 Rue Joly|Pierrefonds-Roxboro (Montréal), Quebec H8Y1E5,Completely renovated turn key bungalow situated in the ideal sector of Pierrefonds.This home has 2 bedrooms on the main floor with an option to add a 3rd,2 bedrooms in the basement,2 full bathrooms and a perfect sized lot.The whole house has been updated!The living room has vaulted ceilings and the layout is open concept.One visit will impress!,http://www.realtor.ca/Residential/Single-Family/16329583/11645-Rue-Joly-Pierrefonds-Roxboro-Montréal-Quebec-H8Y1E5-PierrefondsCentral-East,http://passerelle.centris.ca/redirect.aspx?CodeDest=IFL%26NoMLS=MT10675450&Lang=E,0,closed,NULL
25542,2015-12-18 00:00:00.000,16369705,18859086,$369,900,1988,Pierrefonds/Central East,3,2,House,Garage, Other,12656 Rue Bedford|Pierrefonds-Roxboro (Montréal), Quebec H9A3K5,Situated in a high demand area of Pierrefonds. This home is zoned for the westpark elementary school and is at proximity of Beechwood school , High schools and the Pierrefonds library. This well cared for house is a must see on your part!,http://www.realtor.ca/Residential/Single-Family/16369705/12656-Rue-Bedford-Pierrefonds-Roxboro-Montréal-Quebec-H9A3K5-PierrefondsCentral-East,http://passerelle.centris.ca/redirect.aspx?CodeDest=C21%26NoMLS=MT18859086&Lang=E,0,closed,NULL
25576,2015-12-18 00:00:00.000,16399860,21724433,$385,000,1963,Pierrefonds/Central West,3,1,House,Other, Garage,4416 Rue Ste-Anne|Pierrefonds-Roxboro (Montréal), Quebec H9H2Z4,The most spacious renovated bungalow of the area!!You will be amazed by this spacious house.Incredibly brite because of it's large windows.Renovated with quality and taste.Ideal for young couple or family looking for perfect house with nothing to do upon entry!Amazing private backyard with huge deck.See list of renos in addenda.Must see property!,http://www.realtor.ca/Residential/Single-Family/16399860/4416-Rue-Ste-Anne-Pierrefonds-Roxboro-Montréal-Quebec-H9H2Z4-PierrefondsCentral-West,http://passerelle.centris.ca/redirect.aspx?CodeDest=ALOUERMONTREAL%26NoMLS=MT21724433&Lang=E,0,closed,NULL
25594,2015-12-18 00:00:00.000,16426020,16712433,$395,000,1964,Pierrefonds/Central East,4,2,House,,13294 Rue de l'Acadie|Pierrefonds-Roxboro (Montréal), Quebec H9A1A9,Beautiful, renovated house with a huge lot,huge in ground swimming pool (heated), very serene.Child safe crescent.Wood burning fireplace, sun filled basement .Close to all.,http://www.realtor.ca/Residential/Single-Family/16426020/13294-Rue-de-lAcadie-Pierrefonds-Roxboro-Montréal-Quebec-H9A1A9-PierrefondsCentral-East,http://passerelle.centris.ca/redirect.aspx?CodeDest=RCIIQ%26NoMLS=MT16712433&Lang=E,0,closed,NULL
25606,2015-12-18 00:00:00.000,16329711,12207109,$399,000,1968,West,4,2,House,Garage, Other,18 Rue Gauthier|Dollard-Des Ormeaux, Quebec H9G1Z7,See listing broker(s),http://www.realtor.ca/Residential/Single-Family/16329711/18-Rue-Gauthier-Dollard-Des-Ormeaux-Quebec-H9G1Z7-West,http://passerelle.centris.ca/redirect.aspx?CodeDest=SUTTON%26NoMLS=MT12207109&Lang=E,0,closed,NULL
25379,2015-12-18 00:00:00.000,16417628,21412159,$295,000,1968,Pierrefonds/West,3,2,House,Garage, Integrated garage,4840 Rue Geneviève|Pierrefonds-Roxboro (Montréal), Quebec H9J1S5,Le propriétaire a le droit de vendre par lui même,http://www.realtor.ca/Residential/Single-Family/16417628/4840-Rue-Geneviève-Pierrefonds-Roxboro-Montréal-Quebec-H9J1S5-PierrefondsWest,http://passerelle.centris.ca/redirect.aspx?CodeDest=REMAX%26NoMLS=MT21412159&Lang=E,0,closed,NULL
25417,2015-12-18 00:00:00.000,16058897,23807335,$319,000,1988,East,5,1,House,Garage, Other,7 Rue de Gaspé|Dollard-Des Ormeaux, Quebec H9B3G6,See listing broker(s),http://www.realtor.ca/Residential/Single-Family/16058897/7-Rue-de-Gaspé-Dollard-Des-Ormeaux-Quebec-H9B3G6-East,http://passerelle.centris.ca/redirect.aspx?CodeDest=SUTTON%26NoMLS=MT23807335&Lang=E,0,closed,NULL
25424,2015-12-18 00:00:00.000,16437345,18120655,$319,900,1961,Pierrefonds/Central East,4,2,House,Carport, Other,12227 Rue Tilly|Pierrefonds-Roxboro (Montréal), Quebec H8Z1R8,Superbe residence,Condition impeccable,Une visite vous convaincra.,4 chambres,dont une au sous sol,qui,en passant,est totalement renove 2015 (il y a un mois seulement).,grand terrain de 7000 P C.,Immence Cabanon Tout Neuf.,une visite s'impose!.,vous serez conquis!les visites sont tres accessibles les soirs et les fins de semaines.,ou meme le jour.,http://www.realtor.ca/Residential/Single-Family/16437345/12227-Rue-Tilly-Pierrefonds-Roxboro-Montréal-Quebec-H8Z1R8-PierrefondsCentral-East,http://passerelle.centris.ca/redirect.aspx?CodeDest=SUTTON%26NoMLS=MT18120655&Lang=E,0,closed,NULL
25461,2015-12-18 00:00:00.000,16437291,14746575,$334,900,1954,Forest Gardens (Central North),4,1,House,Garage, Other,234 Boul. St-Charles|Beaconsfield, Quebec H9W2X5,Spacious 3+1 bedroom bungalow located on 13,500 sq.ft. lot. Open concept living/dining room area with lots of daylight. Original, separate kitchen with dinette. Large, magnificent patio overlooking backyard. Close proximity to various services, schools, train & public transport, highway 20/40. A must see!,http://www.realtor.ca/Residential/Single-Family/16437291/234-Boul-St-Charles-Beaconsfield-Quebec-H9W2X5-Forest-Gardens-Central-North,http://passerelle.centris.ca/redirect.aspx?CodeDest=MTOUGAS%26NoMLS=MT14746575&Lang=E,0,closed,NULL
25471,2015-12-18 00:00:00.000,16329583,10675450,$339,000,1962,Pierrefonds/Central East,5,2,House,Garage, Other,11645 Rue Joly|Pierrefonds-Roxboro (Montréal), Quebec H8Y1E5,Completely renovated turn key bungalow situated in the ideal sector of Pierrefonds.This home has 2 bedrooms on the main floor with an option to add a 3rd,2 bedrooms in the basement,2 full bathrooms and a perfect sized lot.The whole house has been updated!The living room has vaulted ceilings and the layout is open concept.One visit will impress!,http://www.realtor.ca/Residential/Single-Family/16329583/11645-Rue-Joly-Pierrefonds-Roxboro-Montréal-Quebec-H8Y1E5-PierrefondsCentral-East,http://passerelle.centris.ca/redirect.aspx?CodeDest=IFL%26NoMLS=MT10675450&Lang=E,0,closed,NULL
25484,2015-12-18 00:00:00.000,16407193,21216520,$340,000,1963,West,4,1,House,Garage, Other,408 Rue Runnymede|Dollard-Des Ormeaux, Quebec H9G1K9,This four bedroom cottage sets on private, child safe crescent like street in family oriented Elm Park area. Walking distance to buses, park/playground with community pool and Fairview Shopping Center. Enter to a closed vestibule. Bright L-shaped living room and dining room with wood floors. Living room features a bow window and...,http://www.realtor.ca/Residential/Single-Family/16407193/408-Rue-Runnymede-Dollard-Des-Ormeaux-Quebec-H9G1K9-West,http://passerelle.centris.ca/redirect.aspx?CodeDest=REMAX%26NoMLS=MT21216520&Lang=E,0,closed,NULL
25568,2015-12-18 00:00:00.000,15869826,25602003,$379,000,1975,West,4,2,House,Integrated garage, Garage, Other,44 Rue Ravel|Dollard-Des Ormeaux, Quebec H9G2M1,A really nice 'Canadiana' Cottage on a quiet child safe street! *Thermoplastic kitchen with ceramic floor & backsplash *Professionally built 4 season 'sunroom' overlooking the gorgeous landscaped garden with I/G pool, 2 sundecks *Spacious playroom with 2nd bathrm, cedar closet! *Roof (2014) *Kitchen (2006) *Furnace (2003)  -please see addendum-,http://www.realtor.ca/Residential/Single-Family/15869826/44-Rue-Ravel-Dollard-Des-Ormeaux-Quebec-H9G2M1-West,http://passerelle.centris.ca/redirect.aspx?CodeDest=C21%26NoMLS=MT25602003&Lang=E,0,closed,NULL
19712,2015-11-17 00:00:00.000,16338170,18780606,$369,000,1987,Forest Gardens (Central North),4,2,House,Other, Garage,147 Av. Elm|#4|Beaconsfield, Quebec H9W2E1,3+1 bedrm, 2.5 baths, updated and renovated! Master with Ens! newer wood floors on main level, nicely maintained yard, private! double sided FPLC, finished basement, wall mounted AC, garage, steps to train, close to elementary, high school, quick access to ST Charles and highway 20!,http://www.realtor.ca/Residential/Single-Family/16338170/147-Av-Elm-4-Beaconsfield-Quebec-H9W2E1-Forest-Gardens-Central-North,http://passerelle.centris.ca/redirect.aspx?CodeDest=REMAX%26NoMLS=MT18780606&Lang=E,0,closed,NULL
23683,2015-11-29 00:00:00.000,16338170,18780606,$369,000,1987,Forest Gardens (Central North),4,2,House,Other, Garage,147 Av. Elm|#4|Beaconsfield, Quebec H9W2E1,3+1 bedrm, 2.5 baths, updated and renovated! Master with Ens! newer wood floors on main level, nicely maintained yard, private! double sided FPLC, finished basement, wall mounted AC, garage, steps to train, close to elementary, high school, quick access to ST Charles and highway 20!,http://www.realtor.ca/Residential/Single-Family/16338170/147-Av-Elm-4-Beaconsfield-Quebec-H9W2E1-Forest-Gardens-Central-North,http://passerelle.centris.ca/redirect.aspx?CodeDest=REMAX%26NoMLS=MT18780606&Lang=E,0,closed,NULL
23685,2015-11-29 00:00:00.000,16369705,18859086,$369,900,1988,Pierrefonds/Central East,3,2,House,Garage, Other,12656 Rue Bedford|Pierrefonds-Roxboro (Montréal), Quebec H9A3K5,Situated in a high demand area of Pierrefonds. This home is zoned for the westpark elementary school and is at proximity of Beechwood school , High schools and the Pierrefonds library. This well cared for house is a must see on your part!,http://www.realtor.ca/Residential/Single-Family/16369705/12656-Rue-Bedford-Pierrefonds-Roxboro-Montréal-Quebec-H9A3K5-PierrefondsCentral-East,http://passerelle.centris.ca/redirect.aspx?CodeDest=C21%26NoMLS=MT18859086&Lang=E,0,closed,NULL
23743,2015-11-29 00:00:00.000,16329711,12207109,$399,000,1968,West,4,2,House,Garage, Other,18 Rue Gauthier|Dollard-Des Ormeaux, Quebec H9G1Z7,See listing broker(s),http://www.realtor.ca/Residential/Single-Family/16329711/18-Rue-Gauthier-Dollard-Des-Ormeaux-Quebec-H9G1Z7-West,http://passerelle.centris.ca/redirect.aspx?CodeDest=SUTTON%26NoMLS=MT12207109&Lang=E,0,closed,NULL
23940,2015-11-30 00:00:00.000,16329583,10675450,$347,500,1962,Pierrefonds/Central East,5,2,House,Garage, Other,11645 Rue Joly|Pierrefonds-Roxboro (Montréal), Quebec H8Y1E5,Completely renovated turn key bungalow situated in the ideal sector of Pierrefonds.This home has 2 bedrooms on the main floor with an option to add a 3rd,2 bedrooms in the basement,2 full bathrooms and a perfect sized lot.The whole house has been updated!The living room has vaulted ceilings and the layout is open concept.One visit will impress!,http://www.realtor.ca/Residential/Single-Family/16329583/11645-Rue-Joly-Pierrefonds-Roxboro-Montréal-Quebec-H8Y1E5-PierrefondsCentral-East,http://passerelle.centris.ca/redirect.aspx?CodeDest=IFL%26NoMLS=MT10675450&Lang=E,0,closed,NULL
23991,2015-11-30 00:00:00.000,16392925,11642227,$365,000,1972,West,4,1,House,Integrated garage, Other, Garage,47 Rue Harbridge|Dollard-Des Ormeaux, Quebec H9G1B2,Spacious and bright 4-bedroom home in Dollard-des-Ormeaux on almost 8,000 sq.ft. lot in quiet crescent. Wood floors, newer bathroom and finished basement with Napoleon fireplace! Close to all amenities that include schools, transport, parks, highway and Fairview Shopping Center. Private backyard with large stone patio. Warm and cozy home!,http://www.realtor.ca/Residential/Single-Family/16392925/47-Rue-Harbridge-Dollard-Des-Ormeaux-Quebec-H9G1B2-West,http://passerelle.centris.ca/redirect.aspx?CodeDest=REMAX%26NoMLS=MT11642227&Lang=E,0,closed,NULL
23994,2015-11-30 00:00:00.000,16338170,18780606,$369,000,1987,Forest Gardens (Central North),4,2,House,Other, Garage,147 Av. Elm|#4|Beaconsfield, Quebec H9W2E1,3+1 bedrm, 2.5 baths, updated and renovated! Master with Ens! newer wood floors on main level, nicely maintained yard, private! double sided FPLC, finished basement, wall mounted AC, garage, steps to train, close to elementary, high school, quick access to ST Charles and highway 20!,http://www.realtor.ca/Residential/Single-Family/16338170/147-Av-Elm-4-Beaconsfield-Quebec-H9W2E1-Forest-Gardens-Central-North,http://passerelle.centris.ca/redirect.aspx?CodeDest=REMAX%26NoMLS=MT18780606&Lang=E,0,closed,NULL
24006,2015-11-30 00:00:00.000,16369705,18859086,$369,900,1988,Pierrefonds/Central East,3,2,House,Garage, Other,12656 Rue Bedford|Pierrefonds-Roxboro (Montréal), Quebec H9A3K5,Situated in a high demand area of Pierrefonds. This home is zoned for the westpark elementary school and is at proximity of Beechwood school , High schools and the Pierrefonds library. This well cared for house is a must see on your part!,http://www.realtor.ca/Residential/Single-Family/16369705/12656-Rue-Bedford-Pierrefonds-Roxboro-Montréal-Quebec-H9A3K5-PierrefondsCentral-East,http://passerelle.centris.ca/redirect.aspx?CodeDest=C21%26NoMLS=MT18859086&Lang=E,0,closed,NULL
24067,2015-11-30 00:00:00.000,16329711,12207109,$399,000,1968,West,4,2,House,Garage, Other,18 Rue Gauthier|Dollard-Des Ormeaux, Quebec H9G1Z7,See listing broker(s),http://www.realtor.ca/Residential/Single-Family/16329711/18-Rue-Gauthier-Dollard-Des-Ormeaux-Quebec-H9G1Z7-West,http://passerelle.centris.ca/redirect.aspx?CodeDest=SUTTON%26NoMLS=MT12207109&Lang=E,0,closed,NULL
23837,2015-11-30 00:00:00.000,16009411,10034142,$299,000,1965,Central,5,1,House,Garage, Other,233 Rue des Pins|Dollard-Des Ormeaux, Quebec H9G1S2,Lowest price in area, This 3 bedroom bungalow with a double garage has tons of potential! . Don't miss your chance, this one will not last long. Call today for a visit !,http://www.realtor.ca/Residential/Single-Family/16009411/233-Rue-des-Pins-Dollard-Des-Ormeaux-Quebec-H9G1S2-Central,http://passerelle.centris.ca/redirect.aspx?CodeDest=REMAX%26NoMLS=MT10034142&Lang=E,0,closed,NULL
21340,2015-11-22 00:00:00.000,16172762,26377769,$350,000,1970,West,4,2,House,Garage, Other,214 Rue Chapleau|Dollard-Des Ormeaux, Quebec H9G1C5,Beautiful family home nestled in great neighborhood. Very well maintained 3+1 bedroom bungalow with gorgeous lot. Large eat-in kitchen with seperate dining room open to living room area. Great finished basement with full bathroom, spare bedroom and large playroom/family room.,http://www.realtor.ca/Residential/Single-Family/16172762/214-Rue-Chapleau-Dollard-Des-Ormeaux-Quebec-H9G1C5-West,http://passerelle.centris.ca/redirect.aspx?CodeDest=BLUEHAT%26NoMLS=MT26377769&Lang=E,0,closed,NULL
23940,2015-11-30 00:00:00.000,16329583,10675450,$347,500,1962,Pierrefonds/Central East,5,2,House,Garage, Other,11645 Rue Joly|Pierrefonds-Roxboro (Montréal), Quebec H8Y1E5,Completely renovated turn key bungalow situated in the ideal sector of Pierrefonds.This home has 2 bedrooms on the main floor with an option to add a 3rd,2 bedrooms in the basement,2 full bathrooms and a perfect sized lot.The whole house has been updated!The living room has vaulted ceilings and the layout is open concept.One visit will impress!,http://www.realtor.ca/Residential/Single-Family/16329583/11645-Rue-Joly-Pierrefonds-Roxboro-Montréal-Quebec-H8Y1E5-PierrefondsCentral-East,http://passerelle.centris.ca/redirect.aspx?CodeDest=IFL%26NoMLS=MT10675450&Lang=E,0,closed,NULL
23949,2015-11-30 00:00:00.000,16360654,14201382,$349,900,1959,Roxboro,4,1,House,Integrated garage, Other, Garage,25 15e Rue|Pierrefonds-Roxboro (Montréal), Quebec H8Y1N4,See listing broker(s),http://www.realtor.ca/Residential/Single-Family/16360654/25-15e-Rue-Pierrefonds-Roxboro-Montréal-Quebec-H8Y1N4-Roxboro,http://passerelle.centris.ca/redirect.aspx?CodeDest=REMAX%26NoMLS=MT14201382&Lang=E,0,closed,NULL
21321,2015-11-22 00:00:00.000,16329583,10675450,$347,500,1962,Pierrefonds/Central East,5,2,House,Garage, Other,11645 Rue Joly|Pierrefonds-Roxboro (Montréal), Quebec H8Y1E5,Completely renovated turn key bungalow situated in the ideal sector of Pierrefonds.This home has 2 bedrooms on the main floor with an option to add a 3rd,2 bedrooms in the basement,2 full bathrooms and a perfect sized lot.The whole house has been updated!The living room has vaulted ceilings and the layout is open concept.One visit will impress!,http://www.realtor.ca/Residential/Single-Family/16329583/11645-Rue-Joly-Pierrefonds-Roxboro-Montréal-Quebec-H8Y1E5-PierrefondsCentral-East,http://passerelle.centris.ca/redirect.aspx?CodeDest=IFL%26NoMLS=MT10675450&Lang=E,0,closed,NULL
21384,2015-11-22 00:00:00.000,16338170,18780606,$369,000,1987,Forest Gardens (Central North),4,2,House,Other, Garage,147 Av. Elm|#4|Beaconsfield, Quebec H9W2E1,3+1 bedrm, 2.5 baths, updated and renovated! Master with Ens! newer wood floors on main level, nicely maintained yard, private! double sided FPLC, finished basement, wall mounted AC, garage, steps to train, close to elementary, high school, quick access to ST Charles and highway 20!,http://www.realtor.ca/Residential/Single-Family/16338170/147-Av-Elm-4-Beaconsfield-Quebec-H9W2E1-Forest-Gardens-Central-North,http://passerelle.centris.ca/redirect.aspx?CodeDest=REMAX%26NoMLS=MT18780606&Lang=E,0,closed,NULL
21391,2015-11-22 00:00:00.000,16369705,18859086,$369,900,1988,Pierrefonds/Central East,3,2,House,Garage, Other,12656 Rue Bedford|Pierrefonds-Roxboro (Montréal), Quebec H9A3K5,Situated in a high demand area of Pierrefonds. This home is zoned for the westpark elementary school and is at proximity of Beechwood school , High schools and the Pierrefonds library. This well cared for house is a must see on your part!,http://www.realtor.ca/Residential/Single-Family/16369705/12656-Rue-Bedford-Pierrefonds-Roxboro-Montréal-Quebec-H9A3K5-PierrefondsCentral-East,http://passerelle.centris.ca/redirect.aspx?CodeDest=C21%26NoMLS=MT18859086&Lang=E,0,closed,NULL
21459,2015-11-22 00:00:00.000,16329711,12207109,$399,000,1968,West,4,2,House,Garage, Other,18 Rue Gauthier|Dollard-Des Ormeaux, Quebec H9G1Z7,See listing broker(s),http://www.realtor.ca/Residential/Single-Family/16329711/18-Rue-Gauthier-Dollard-Des-Ormeaux-Quebec-H9G1Z7-West,http://passerelle.centris.ca/redirect.aspx?CodeDest=SUTTON%26NoMLS=MT12207109&Lang=E,0,closed,NULL
